,0
0,I came to see you ~~~
1,"Ignorant like a pine tree of the artist .. ㅋㅋㅋ It's not a taste, but it's a writer."
2,Come only once more
3,"Oh, pounding ..."
4,Please give me more ㅠㅠ
5,Ha .... I want to see the original so much
6,oh…
7,That's right .. Payback on the day.
8,How much do I have to wait again
9,Do you have a week?The two -day kiss was a kiss.
10,Hongjo ㅅ ㅂ Hongjo ㅅ ㅂ Hongjo ㅅ ㅂ Hongjo ㅅㅂ Hongjo ㅅㅂ Hongjo ㅅㅂ Hongjo ㅅㅂ Hongjo ㅅㅂ Yoonje is crazy
11,Today.
12,Pumen…
13,"Duddong !!!!!
The writer, two days later ...... I will remember hahahahahaha"
14,Jay's eyes are red ... :)
15,There is even ...
16,Kill the people who will be
17,I'm waiting for another ten days for happiness.
18,More
19,What is Yun Yun !!! Why!Even !!!ㅠㅠ
20,Hugh I can last two weeks.*^^*
21,I like the thread
22,Why is your eyes red
23,"HaCori is handsome, but Yuhan is cute and crazy"
24,Kazua
25,Why is it so short?
26,Real love.
27,Yuhan glass glasses ~
28,"Utka Utka, our Jay can't sleep"
29,Ha ... what's ... I only saw that kiss…What the hell…. What are you doing?. ;;;;
30,I can't wait for two days ... I have to pay for it here.
31,Is it over after kissing today? Ah .. ㅠㅠ
32,"You're two days, but we're 10 days*?"
33,I hate it if I didn't like it
34,Huh.Fuck
35,happy...
36,Yuhan's expression dog dog ~ ☺️
37,it's good....
38,Can you see it in two days?Envy Yoonje
39,"Ball red Yoonje -yi ... I didn't adapt at first, but now it's awkward if it doesn't work"
40,I miss you ...*^^*
41,"Awesome ~~ Yun Yun ~~ I was fluttering.
Truly Torai ~~~ !!!ㅋㅋㅋ ♥♥
Yuhan's reaction will be thrilled.
It's two days for Jay and Yuhan, but it's a week ~~ !!!"
42,"Wow, I'm going crazy, Yunje is really a magical gay"
43,cute
44,It's overwhelming…
45,"Oh, I read it all in an instant ...?"
46,The best glasses
47,"From the first cut, Yuhan's beauty"
48,I'm just going to go ????
49,Two days like ten days
50,Look at these guys
51,It's delicious……
52,It stopped in the first scene for ten seconds.
53,Are you regretting the ground and regretting what you didn't do then?
54,"Because we have to wait 10 days, please take a 10 -day kiss ..."
55,I can't stand it ~
56,Why did you cry red eyes?
57,"Yuhan is a tribe, so I came to charge it."
58,Who stunned me a little. I'll get up ten days.
59,Two days later
60,"Happy ... How are you waiting for 10 days?
ꃼ.̫ ꃼ"
61,"No, wait a minute .... Wait a minute .... Today's kiss is Kisson ... there's something like the kids ....Of"
62,I also felt good too ... huh?;
63,I liked the field kiss !!!
64,Hansu and manager are so cute whenever they come to text
65,"If you go on a business trip later, it will be very frustrating ???"
66,The glasses look good
67,"Soon ㅠㅠㅠ Next
Pannie"
68,"I only kiss, but it's a wake -ke."
69,Oh so much fun
70,Can you see a flesh party two days later?I will expect
71,To charge
72,"I was wearing glasses
I kissed Jay's forehead."
73,"The two kissed, but I like it and it's hard ..."
74,Free lifting today
75,Phew ... it's awesome ...
76,I came because I bought a steamy
