,0
0,Ah ... not today 31 days !!!!ㅠㅠ
1,"Finite
Keep seeing
This pervert"
2,Kiss scene is really the best this anger.
3,"This is more than the last time ... Yaha, but that's 19 gold, why is this not?"
4,One of them seems to be the culprit ...
5,"Ha Yuhan is really a torto…Only the kiss scene came out, but Secten came out."
6,Ha .... Jay's big hand and hand
7,"What do you do, it's just a handsome baby rabbit"
8,It's really crazy ............ And the comments are really in springtoons.
9,"Why is it 22, not 0 o'clock on the 20th"
10,The face is a narrative
11,Do you go to the rooftop ~?
12,ㅋ ㄱㅋ ㄱㅋ 19 gold is just one thing in the middle.But I am convinced enough ..*^^*
13,Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh !!!!!
14,That is really cool.
15,"Fujoking, are you a fan of Samk!
I think you did a lot of research!
You solved your boss's juice TMI in one cut !!!"
16,Today's beauty is crazy .. Ha ..
17,ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
18,This episode is so funny ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
19,"I didn't have a few scenes in the original, and I didn't have to do it.
Samk's himself said that he was worried about it because he had a sancten."
20,The boss is really confused
21,"It's not the face of the boss who imagined ...
I waited"
22,I love you crazy
23,Two hundred won..lol
24,Who are you looking at that hair?
25,Why aren't it coming up ...?
26,"I really hope this gets an official translation! I love the story so far and will continue to support you here. But Id love to be able to read in clean english, google just works so-so hahaha. A real masterpiece and the artstyle is wonderful, loved the novel too, even if i just understood 45% hahahah!"
27,"So ~ If you do it, you can do it"
28,do it faster
29,It's in front of Jay's eyes hahaha
30,"No, I forget that."
31,"Wow, the artist ㅠㅠㅠ Title color is also a big hit that changes according to the atmosphere."
32,Yang Achi Yuhan is so good.
33,"Spring tun came in to see the Payback and the coin diameter
The content is heartbreaking and the picture is cool"
34,"헉헉 Yun Yun Lee and our Yuhan will fall in love and have sex with each other, so I'm really nervous."
35,It's so pretty.
36,I cant read this... is there an english version?
37,The artist said that this episode was desired as an emoticon.
38,Reasons
39,"When I threw it, Jay's expression is really awesome. Yuhan is also manga"
40,God ... ㄹㅇ God ... I express this scene so desperately ... ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ
41,"In the meantime, Yuhan sees the hip coveted ..."
42,"It's crazy. The only person who eats Yunje and eats it, you met without knowing each other.What do you know"
43,Is the word idiot?
44,I'll lie down until I come here until next time.
45,Sad ㅠㅠ
46,"Latin King Fujoking, so it's so good to save the top class. Hermes Chanel"
47,It is worthwhile to hold on to the bursting server.
48,Ha Na Housing
49,If that face is plain ... what is it?Is it a face that's roughly united with the mud ... Please don't have to be?Ung.ㅠㅠ
50,Lee Baek -won's nickname I liked it very much.
51,"ㅋ ㅋㅋㅋ Fujoking, I love you so well."
52,Lee Baek -won actually attaches to loved ones.
53,The boss ... is it presbyopia?What do you say after seeing the beauty that shines even from 100 miles?
54,"Look at the tattoo location ,,, if you get down a little more ,,,?"
55,What is the reason why you are shy with your face reddish ...?Hello my heart ...?
56,And even the motion that naked clothes ... art .... !!
57,Yuhan's eyes are definitely saved.
58,"No, this writer is so handsome"
59,Is this writer over there?
60,Withdrawal of the hwangol ...?
61,Ha writer really…The story and the drawing are so good .. I'm crazy. Really.
62,Samk said that he changed the original.Our Taemin looks.World sequence No. 1
63,"I realized late ... It's a spawn, but there's no 19 scab ........... Later, even if the abduction later ..............."
64,The kids use a fragrant phone !!
65,Vengeance is so good ... ♡
66,"Schamp crafts that pay and see on mobile.!
It is impressed by itself ~ It's a long time to see"
67,"Yuhan, you are handsome today ^^…
But Yunyi ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ I heard a lot of psychopaths…It's already too much to see how the two will eat."
68,And the prologue configuration was good
69,"It was my favorite novel, but I was so satisfied that I was so satisfied with the novels I saw."
70,"ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ From the beginning, such a foreign object comes out ..... It will be worth seeing when it collapses later."
71,Unintentional head -to -head
72,The two are not mischievous
73,I am an idiot from today
74,I really like it ~~~ ♥
75,Is it a true story of Payback's spring tun server?
76,"Wow, the face crazy, crazy and dog honey jam"
77,I hope the artist will make only one more episode by mistake
78,"Why ㅁㅊ Johnjal ㅠㅠㅠ ㅠㅠㅠ I'm crazy, the artist's drawing day ,,,,"
79,"I was crazy ... I was cursed, but why am I so crazy?"
80,I can hear DC's voice. Are you seeing animation!?
81,"Wow, the crazy Yoonje"
